AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-2584.0,-11112.0,12232.0,3208.0,2387.0,1355.0
-3956.0,-10840.0,13460.0,3334.0,1665.0,1312.0
-3996.0,-8844.0,14584.0,1322.0,-642.0,1133.0
-3748.0,-9372.0,14288.0,-1245.0,-2841.0,205.0
-3852.0,-11400.0,15540.0,-2358.0,-3841.0,454.0
-3308.0,-13456.0,14640.0,-1422.0,-4705.0,-674.0
-240.0,-16792.0,17960.0,13356.0,-809.0,-832.0
-4112.0,-13808.0,20280.0,10685.0,-1187.0,-665.0
-3296.0,-17512.0,19836.0,20669.0,2572.0,2293.0
-5356.0,-10536.0,21140.0,17424.0,2972.0,3200.0
-5732.0,-10980.0,18504.0,16084.0,3225.0,2948.0
-7048.0,-9168.0,17564.0,18039.0,2502.0,2428.0
-7084.0,-9028.0,16112.0,21919.0,386.0,1366.0
-6972.0,-8832.0,15488.0,25027.0,-2255.0,584.0
-6472.0,-6108.0,11800.0,27934.0,-6375.0,-848.0
-4692.0,-388.0,11916.0,25777.0,-6667.0,-814.0
-4060.0,-4216.0,10696.0,26323.0,-8528.0,-3874.0
-1176.0,-2308.0,13568.0,31213.0,-7425.0,-6666.0
332.0,-2592.0,12208.0,32767.0,-8087.0,-6396.0
1700.0,-4736.0,10776.0,32767.0,-5378.0,-7425.0
4180.0,3624.0,8272.0,32767.0,-4947.0,-6238.0
3912.0,6044.0,7048.0,32767.0,-2713.0,-1998.0
3536.0,4848.0,10436.0,32767.0,-5475.0,465.0
5312.0,6396.0,11456.0,32767.0,-9266.0,1931.0
5500.0,10904.0,9188.0,32767.0,-9248.0,1920.0
6756.0,17712.0,7508.0,23627.0,-2606.0,892.0
4456.0,18420.0,7752.0,7617.0,3651.0,1464.0
2684.0,16852.0,8960.0,-4482.0,5242.0,-2337.0
1120.0,17528.0,8608.0,-17011.0,2039.0,-2789.0
1232.0,20616.0,7020.0,-32768.0,282.0,-2476.0
2768.0,24356.0,8612.0,-32768.0,931.0,-2470.0
3632.0,16000.0,6548.0,-32768.0,1656.0,-6338.0
5400.0,6480.0,-2276.0,-32768.0,9475.0,-3053.0
